SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1300.00,1300.00,1280.00,1282.85,1282.85,1292.65,496,3850,4964802.00,
500003,AEGIS LOGIS ,A ,Q,256.00,263.70,247.00,262.95,262.00,256.25,306,10579,2740306.00,
500008,AMAR RAJA BA,A ,Q,815.00,815.00,801.20,811.40,812.85,810.75,530,15385,12430006.00,
500009,A.SARABHAI  ,X ,Q,10.70,10.95,10.50,10.59,10.50,10.85,46,25592,272540.00,
500010,HDFC        ,A ,Q,1830.50,1845.00,1817.00,1830.10,1830.10,1838.10,1251,33076,60488614.00,
500012,ANDHRA PETRO,X ,Q,58.90,59.95,58.00,59.60,59.60,59.80,215,37095,2204306.00,
500013,ANSAL INFRAS,B ,Q,20.70,21.35,19.95,20.85,21.00,20.40,365,102910,2116210.00,
500014,APPLE FINANC,XT,Q,2.77,2.77,2.60,2.77,2.77,2.65,4,1890,5152.00,
500016,ARUNA HOTEL ,XT,Q,14.45,14.45,14.45,14.45,14.45,13.77,6,4390,63435.00,
500020,BOM DYEING  ,A ,Q,243.05,258.00,243.05,250.40,250.40,246.50,7502,747831,186584684.00,
500023,ASIANHOTNR  ,T ,Q,291.50,298.90,285.15,295.00,295.00,299.85,10,4143,1218338.00,
500024,ASSAMCO     ,B ,Q,4.42,4.55,4.42,4.52,4.52,4.34,105,106713,482919.00,
500027,ATUL LTD.   ,A ,Q,2634.00,2750.00,2620.00,2738.15,2735.00,2633.40,274,1221,3294299.00,
500028,ATV PROJECTS,XT,Q,10.20,10.20,9.39,9.57,10.12,9.73,18,3189,30466.00,
500029,AUTOLITE(I) ,B ,Q,67.45,68.00,64.50,67.35,67.35,65.90,61,2571,171360.00,
500031,BAJAJ ELECT.,A ,Q,575.45,638.80,574.95,621.70,621.70,575.35,2395,103825,63087306.00,
500032,BAJAJHIND   ,A ,Q,9.18,9.43,9.02,9.37,9.37,9.18,431,348694,3207907.00,
500033,FORCE MOTR  ,B ,Q,2761.00,2849.70,2761.00,2793.75,2793.75,2784.55,2795,37520,105481942.00,
500034,BAJFINANCE  ,A ,Q,1825.00,1839.75,1804.30,1832.00,1827.10,1818.40,1787,30963,56477932.00,
500038,BALRAM.CHINI,A ,Q,77.75,78.00,75.25,77.60,77.60,78.50,2293,371156,28417668.00,
500039,BANCO PROD. ,B ,Q,220.75,225.50,217.00,224.35,224.35,221.90,147,6265,1383133.00,
500040,CENTURY TEXT,A ,Q,1172.95,1207.00,1164.00,1199.75,1199.50,1179.95,967,34382,40776607.00,
500041,BANNARI AMAN,B ,Q,1747.50,1770.00,1747.50,1770.00,1770.00,1680.00,5,1061,1854610.00,
500042,BASF INDIA  ,B ,Q,1949.90,1995.00,1949.90,1991.80,1995.00,1941.60,121,327,646613.00,
500043,BATA INDIA  ,A ,Q,750.35,755.05,740.45,749.95,749.95,751.70,432,18348,13686005.00,
500048,BEML LTD    ,A ,Q,1073.90,1122.40,1073.15,1113.60,1113.60,1082.45,2050,66895,73891096.00,
500049,BHARAT ELECT,A ,Q,145.00,147.10,143.75,146.65,146.65,144.65,1286,135369,19705105.00,
500052,BHANSALI ENG,B ,Q,187.75,187.75,183.00,187.75,187.75,178.85,1409,251900,46963323.00,
500055,BHUSH STEEL ,B ,Q,43.90,44.45,42.85,44.00,44.00,42.70,2221,454607,19869671.00,
500058,BIHAR SPONGE,XT,Q,1.90,1.90,1.72,1.72,1.72,1.81,5,1155,1986.00,
500059,BINANI IND. ,B ,Q,90.25,92.25,89.40,92.25,92.25,87.90,213,19675,1804203.00,
500060,BIRLACABLE  ,B ,Q,64.90,66.40,63.25,64.90,65.35,63.95,108,7411,476687.00,
500067,BLUE STAR   ,A ,Q,780.10,800.00,768.05,794.95,795.00,776.70,413,6723,5241879.00,
500068,DISA INDIA  ,X ,Q,6168.95,6168.95,6000.00,6074.95,6000.00,6000.00,4,8,48787.00,
500069,BNK CAPITAL ,X ,Q,105.95,105.95,97.10,105.45,105.80,106.75,26,954,97735.00,
500074,BPL LTD.    ,B ,Q,74.00,78.55,73.75,77.80,77.80,74.65,1631,183659,14089320.00,
500078,OAL         ,X ,Q,930.00,930.00,872.05,920.00,920.00,921.00,12,189,173407.00,
500083,CENTURY EXT ,B ,Q,5.24,5.25,5.24,5.25,5.25,5.00,16,4208,22070.00,
500084,CESC LTD.   ,A ,Q,989.50,1015.00,978.00,1005.15,1005.15,987.85,886,40729,40454271.00,
